,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wakefield,40.89470517661,-73.84720052054902,Grene Diamonds Inc,40.894507256868856,-73.845234811306,Salsa Club
1,Wakefield,40.89470517661,-73.84720052054902,The Upper Room,40.892567,-73.846406,Music Venue
2,Wakefield,40.89470517661,-73.84720052054902,Dyme Life Radio,40.894541333333336,-73.84326600000001,Music Venue
3,Wakefield,40.89470517661,-73.84720052054902,Major League Music Group,40.89136668917538,-73.85008751159359,Music Venue
4,Wakefield,40.89470517661,-73.84720052054902,Par-City,40.89021141,-73.84700158,Music Venue
5,Co-op City,40.87429419303012,-73.82993910812398,Dreiser Auditorium,40.8763808729142,-73.82909547946035,Jazz Club
6,Co-op City,40.87429419303012,-73.82993910812398,wicked toy creation Studio,40.876552000000004,-73.826704,Art Gallery
7,Co-op City,40.87429419303012,-73.82993910812398,Wicked Toy Creations Studio,40.87730516338552,-73.82753319254002,Art Gallery
8,Fieldston,40.89543742690383,-73.90564259591682,"Marillac Lawn, College of Mount St. Vincent",40.8971509,-73.9065883,Music Venue
9,Fieldston,40.89543742690383,-73.90564259591682,Uptown Coffeehouse,40.892331,-73.905058,Music Venue
10,Riverdale,40.890834493891305,-73.9125854610857,Bugatti Music Group,40.886617629570324,-73.91140241689858,Music Venue
11,Kingsbridge,40.88168737120521,-73.90281798724604,Jim Lahti Master Studio,40.882785,-73.905243,Music Venue
12,Kingsbridge,40.88168737120521,-73.90281798724604,Coyote Statue,40.885179785959835,-73.89943873200761,Outdoor Sculpture
13,Kingsbridge,40.88168737120521,-73.90281798724604,231 Step Street Mural,40.87749213678903,-73.90069465254186,Street Art
14,Marble Hill,40.87655077879964,-73.91065965862981,Villa Lobos,40.875592,-73.90949599999999,Music Venue
15,Marble Hill,40.87655077879964,-73.91065965862981,Sonnet Project - Sonnet #152,40.880538160382365,-73.91129493713377,Performing Arts Venue
16,Woodlawn,40.89827261213805,-73.86731496814176,Bison's Landing,40.89918903235937,-73.86994909580334,Art Gallery
17,Norwood,40.87722415599446,-73.8793907395681,Museum Of Bronx History,40.87737447749072,-73.87944102287292,Museum
18,Norwood,40.87722415599446,-73.8793907395681,Valentine Varian House,40.87739070189128,-73.87932300567627,History Museum
19,Williamsbridge,40.88103887819211,-73.85744642974207,Monica Row,40.87889,-73.86135,Art Gallery
20,Williamsbridge,40.88103887819211,-73.85744642974207,WCO,40.882686,-73.862978,Dance Studio
21,Baychester,40.866858107252696,-73.83579759808117,Movies,40.866690210391425,-73.83139868142094,Movie Theater
22,Baychester,40.866858107252696,-73.83579759808117,Damatrixstudios,40.87117330237115,-73.83684592174664,Music Venue
23,Pelham Parkway,40.85741349808865,-73.85475564017999,Bronx house,40.8566890843586,-73.86046675741161,Performing Arts Venue
24,Pelham Parkway,40.85741349808865,-73.85475564017999,Los Mejores Music Studio,40.85733697013081,-73.85001948946602,Music Venue
25,City Island,40.84724670491813,-73.78648845267413,City Island Nautical Museum,40.847624203536704,-73.78450645059519,History Museum
26,City Island,40.84724670491813,-73.78648845267413,Starving Artist Cafe & Gallery,40.845396,-73.786055,Music Venue
27,City Island,40.84724670491813,-73.78648845267413,Big Town Productions,40.84667079100488,-73.78744125366211,Music Venue
28,City Island,40.84724670491813,-73.78648845267413,Scoil Rince Saoirse,40.847585292680705,-73.78465165465202,Dance Studio
29,City Island,40.84724670491813,-73.78648845267413,Focal Point Gallery,40.847561,-73.78686,Art Gallery
30,University Heights,40.85572707719664,-73.9104159619131,Hall of Fame for Great Americans,40.858679144464936,-73.91449458730676,History Museum
31,University Heights,40.85572707719664,-73.9104159619131,Hall Of Fame Art Gallery,40.85666,-73.912636,Art Gallery
32,University Heights,40.85572707719664,-73.9104159619131,The Original Graffiti Hall Of Fame,40.85952207411006,-73.90907144697903,Arts & Entertainment
33,Morris Heights,40.84789792606271,-73.91967159119565,EG Music Studios,40.847215000000006,-73.919437,Music Venue
34,Morris Heights,40.84789792606271,-73.91967159119565,GC International,40.845940999999996,-73.920594,Music Venue
35,Morris Heights,40.84789792606271,-73.91967159119565,Carlos Ramirez,40.848537436143936,-73.92249584197998,Art Gallery
36,Morris Heights,40.84789792606271,-73.91967159119565,Shisha Cafe & Bar,40.8457639,-73.9216747,Music Venue
37,Fordham,40.86099679638654,-73.89642655981623,Paradise Theater,40.86049894842506,-73.89846324920653,Music Venue
38,Fordham,40.86099679638654,-73.89642655981623,MAMBO101 Salsa Dance Studio,40.86119634427314,-73.89703148613339,Dance Studio
39,Fordham,40.86099679638654,-73.89642655981623,Ray Carrion Jr Radio Station - Siempre modernos,40.861570257771504,-73.89834058797888,Music Venue
40,Fordham,40.86099679638654,-73.89642655981623,B E C,40.861846,-73.89835699999999,Concert Hall
41,Fordham,40.86099679638654,-73.89642655981623,Yamulee,40.861357449419216,-73.8980822133099,Salsa Club
42,Fordham,40.86099679638654,-73.89642655981623,Ilkhom Nizomo,40.8629007284892,-73.89533042907715,Art Gallery
43,Fordham,40.86099679638654,-73.89642655981623,Five Star Trader,40.861653000000004,-73.893495,Movie Theater
44,Fordham,40.86099679638654,-73.89642655981623,Grand Concourse Paradise theatre,40.85997690199705,-73.89919035114475,Concert Hall
45,Fordham,40.86099679638654,-73.89642655981623,Wailing Wall Prodctns,40.863408,-73.89399300000001,Concert Hall
46,Fordham,40.86099679638654,-73.89642655981623,edgar allen poe gallery,40.86429631743693,-73.89522314071655,Art Gallery
47,Fordham,40.86099679638654,-73.89642655981623,HOTAI Dance Studio,40.858548,-73.892448,Dance Studio
48,East Tremont,40.84269615786053,-73.88735617532338,Tanima Dance @ The Mary Mitchell Center,40.84495,-73.88734,Dance Studio
49,West Farms,40.83947505672653,-73.87774474910545,Bronx River Art Center,40.840601214950766,-73.87895005547816,Art Gallery
50,West Farms,40.83947505672653,-73.87774474910545,The Dark Room,40.842226933333336,-73.8767047,Music Venue
51,West Farms,40.83947505672653,-73.87774474910545,Shabar Music Studio,40.835061,-73.876886,Music Venue
52,High  Bridge,40.836623010706056,-73.9261020935813,Halo,40.83368335423561,-73.92982528258281,Rock Club
53,Melrose,40.819754370594936,-73.90942160757436,Old Bronx Courthouse,40.82289406790778,-73.90956520155662,Art Gallery
54,Melrose,40.819754370594936,-73.90942160757436,The Mini Multiplex,40.819917,-73.906247,Multiplex
55,Mott Haven,40.80623874935177,-73.91609987487575,Criminal Minds,40.80505826525163,-73.91663264439124,Multiplex
56,Mott Haven,40.80623874935177,-73.91609987487575,SBK Studio,40.80499,-73.914741,Dance Studio
57,Mott Haven,40.80623874935177,-73.91609987487575,728 east 136th street,40.803027,-73.912877,Art Gallery
58,Mott Haven,40.80623874935177,-73.91609987487575,Sinarti,40.802563,-73.912787,Performing Arts Venue
59,Port Morris,40.801663627756206,-73.91322139386135,Sinarti,40.802563,-73.912787,Performing Arts Venue
60,Port Morris,40.801663627756206,-73.91322139386135,728 east 136th street,40.803027,-73.912877,Art Gallery
61,Port Morris,40.801663627756206,-73.91322139386135,Royce Lighting,40.800643,-73.91118,Concert Hall
62,Port Morris,40.801663627756206,-73.91322139386135,True Sound Lounge,40.801345,-73.91052071,Music Venue
63,Port Morris,40.801663627756206,-73.91322139386135,The Draper Space,40.801427000000004,-73.91028299999999,Art Gallery
64,Port Morris,40.801663627756206,-73.91322139386135,D and D Productions,40.800684999999994,-73.909276,Concert Hall
65,Port Morris,40.801663627756206,-73.91322139386135,SBK Studio,40.80499,-73.914741,Dance Studio
66,Port Morris,40.801663627756206,-73.91322139386135,Criminal Minds,40.80505826525163,-73.91663264439124,Multiplex
67,Longwood,40.81509904545822,-73.8957882009446,Iridescent,40.81661554060611,-73.89226582196498,Science Museum
68,Longwood,40.81509904545822,-73.8957882009446,infantry65,40.813046,-73.899832,Music Venue
69,Longwood,40.81509904545822,-73.8957882009446,Serrano Art Gallery,40.81901,-73.898349,Art Gallery
70,Hunts Point,40.80972987938709,-73.88331505955291,More Points BX,40.811196,-73.88591600000001,Art Gallery
71,Morrisania,40.82359198585534,-73.90150648943059,Bronx Social Club,40.823037,-73.8997882,Music Venue
72,Morrisania,40.82359198585534,-73.90150648943059,Gramsci Monument,40.823228,-73.90335999999999,Public Art
73,Morrisania,40.82359198585534,-73.90150648943059,Alberto Superette,40.826674,-73.90174,Movie Theater
74,Morrisania,40.82359198585534,-73.90150648943059,Olympic Theater,40.820254999999996,-73.902008,Concert Hall
75,Country Club,40.844245936947374,-73.8240992675385,jazz,40.84345679182627,-73.82035732269287,Jazz Club
76,Country Club,40.844245936947374,-73.8240992675385,Stadium Cinemas,40.842263,-73.82012900000001,Movie Theater
